collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
1329,70,997981,-2.93511,0.764108,7.21194,2.07377,421,10,0,101.026,42.5,0.613281,53.2567,1,12.471285,1
1385,-9,1041580,-2.75755,0.467366,3.69796,-0.634313,211,10,3,170.867,0.15625,0.122559,19.3911,0,261.98053,-1
1385,72,1041580,-3.34573,0.791345,11.2437,-0.884152,211,10,0,170.867,240,0.122559,19.3911,0,261.98053,-1
1420,-9,1071667,-3.35905,0.804794,11.5877,1.44405,211,12,3,76.5502,0.515625,1.125,31.6187,1,885.723572,1
1420,74,1071667,-3.46781,0.881714,14.1504,1.55812,211,12,0,76.5502,14.4375,1.125,31.6187,1,885.723572,1
1423,77,1072925,-14.9741,0.00215474,3432.02,180.127,321,11,2,127.483,4.65E+06,-1,42.3061,1,-0.000285,-1
1423,-9,1072925,-3.66804,0.0958622,1.87893,-0.675614,321,11,4,127.483,0.201172,-1,42.3061,1,-0.000285,-1
1449,-9,1093202,-3.26047,0.501746,6.54783,-3.11803,211,10,3,54.1386,0.090332,0.667969,40.641,1,162.182556,-1
1449,78,1093202,-2.79653,0.169691,1.3956,-3.13992,211,10,0,54.1386,4.55E+06,0.667969,40.641,1,162.182556,1
1462,-9,1104880,-3.1448,0.641956,7.46532,-1.19516,321,12,3,119.205,0.0991211,0.253906,60.3865,1,12.47153,1
1462,80,1104880,-2.82495,1.41755,11.992,-1.32802,321,12,0,119.205,5792,0.253906,60.3865,1,12.47153,1
1493,-9,1126522,-2.56598,0.513831,3.36307,-2.53801,321,10,3,153.038,0.09375,0.65625,33.121,1,12.45203,-1
1493,82,1126522,-3.38762,0.551984,8.17741,-2.25802,321,10,0,153.038,47,0.65625,33.121,1,12.45203,-1
1530,-9,1155363,-2.98092,1.19819,11.8361,0.625519,411,10,3,56.8293,0.141602,0.699219,50.2436,1,12.455136,1
1530,84,1155363,-2.97927,1.46534,14.4514,0.477229,411,10,0,56.8293,16.625,0.699219,50.2436,1,12.455136,1
1542,87,1166249,-2.87415,0.431385,3.83216,1.13239,211,11,2,35.6589,71.5,-1,68.6638,0,998.044495,1
1542,-9,1166249,-2.34907,0.207455,1.09654,1.18488,211,11,4,35.6589,0.503906,-1,68.6638,0,998.044495,1
1548,-9,1172531,-5.06309,0.0334969,2.64766,1.17855,211,13,3,95.6718,0.200195,0.310547,33.1263,1,-461.599426,1
1548,88,1172531,16.6355,0.000294833,2473.24,1475.77,211,13,0,95.6718,1.13E+06,0.310547,33.1263,1,-461.599426,1
1589,-9,1210776,-2.49774,0.646261,3.95424,2.07456,321,11,3,52.2778,0.146484,1.59375,75.5566,0,1185.140747,1
1589,92,1210776,-2.78248,0.786105,6.37568,2.12854,321,11,0,52.2778,141,1.59375,75.5566,0,1185.140747,1
1604,-9,1219646,-2.31974,0.476834,2.44885,0.493961,130,10,3,122.22,0.158203,2.46875,51.1506,1,736.088684,1
1604,94,1219646,-2.79195,0.667971,5.46871,0.0839297,130,10,0,122.22,486,2.46875,51.1506,1,736.088684,1
6,-1,61577,-3.69189,0.418942,8.40937,-0.851268,211,10,3,119.81,0.041748,0.882812,24.1397,1,-112.28054,1
6,28,61577,-3.62985,0.628896,11.8653,-1.53061,211,10,0,119.81,776,0.882812,24.1397,1,-112.28054,1
21,-1,361565,-3.22622,0.243057,3.06543,0.529688,211,12,3,80.4762,0.302734,0.933594,39.5864,1,-386.741241,-1
21,30,361565,-2.87911,0.448434,4.0033,-0.415353,211,12,0,80.4762,92160,0.933594,39.5864,1,-386.741241,-1
39,33,432516,-7.5937,0.059027,58.6032,2.23764,211,12,2,88.2131,778240,-1,23.5038,1,249.506775,-1
39,-96,432516,-3.85867,0.143982,3.41405,-1.40703,211,12,4,88.2131,0.101074,-1,23.5038,1,249.506775,1
148,-96,524949,-2.9849,0.646414,6.4108,-1.85731,211,10,3,93.9624,0.158203,0.0405273,35.8345,1,12.47009,-1
148,34,524949,-3.37656,0.637113,9.33503,-1.74179,211,10,0,93.9624,20.125,0.0405273,35.8345,1,12.47009,-1
153,-96,532338,-2.72317,0.416091,3.18189,-2.0162,321,10,3,45.2469,0.230469,1.08594,61.4585,1,62.391167,-1
153,36,532338,-2.51289,0.930169,5.7771,-2.13948,321,10,0,45.2469,1048,1.08594,61.4585,1,62.391167,-1
250,-96,601943,-3.03517,0.275992,2.87756,0.0923991,321,10,3,157.918,0.341797,0.216797,24.7025,1,12.452602,1
250,38,601943,-3.39307,0.490715,7.30943,0.777736,321,10,0,157.918,69120,0.216797,24.7025,1,12.452602,1
266,-96,616421,-3.85996,0.252871,6.00371,-2.44519,211,11,3,33.5248,0.251953,2.03125,26.903,1,511.489929,-1
266,40,616421,-3.07276,1.20179,13.008,-2.39279,211,11,0,33.5248,26112,2.03125,26.903,1,511.489929,-1
297,-96,642218,-3.1146,0.199552,2.25182,-2.73695,211,11,3,108.839,0.186523,3.39062,36.502,1,12.484285,-1
297,42,642218,-3.44746,0.354663,5.57749,-2.99655,211,11,0,108.839,9408,3.39062,36.502,1,12.484285,-1
317,45,660970,-2.6609,0.437467,3.14518,2.10469,321,12,2,33.446,21.625,-1,69.0597,1,-24.964521,1
317,-96,660970,-2.35957,0.221813,1.18458,2.39748,321,12,4,33.446,0.396484,-1,69.0597,1,-24.964521,1
338,47,674232,-2.96791,0.592036,5.77315,1.87292,211,10,2,59.3701,141,-1,56.5606,1,-24.968781,1
338,-96,674232,-2.69454,0.444637,3.30507,1.74909,211,10,4,59.3701,0.183594,-1,56.5606,1,-24.968781,1
359,-96,696824,-3.36375,0.476002,6.88585,0.494682,321,10,3,62.4189,0.118164,1.60156,36.2236,1,12.464726,-1
359,48,696824,-3.29256,0.692711,9.33387,0.310597,321,10,0,62.4189,9.75,1.60156,36.2236,1,12.464726,-1
500,-96,812999,-3.22362,0.254964,3.20729,-0.641277,321,11,3,31.3595,0.361328,6.40625,38.4665,0,12.455078,-1
500,50,812999,-3.35526,0.381343,5.46998,-0.657546,321,11,0,31.3595,11.625,6.40625,38.4665,0,12.455078,-1
525,-96,835015,-4.12044,0.0703732,2.16759,-3.05164,321,12,3,42.3603,0.199219,6.875,36.1643,1,12.496644,-1
