collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
1421,-41,1438047,-3.33894,0.561057,7.91786,-1.4094,411,11,3,46.689,0.182617,0.229492,31.2628,1,87.335373,1
21,-1,18023,-3.11892,3.18879,36.1386,-1.28223,421,10,3,123.124,0.0878906,0.742188,40.979,1,12.477293,-1
715,-5,559909,-3.3564,1.05127,15.0965,-2.01472,411,9,3,58.8258,0.024292,0.976562,38.0604,1,985.552917,1
1253,-6,963831,-3.57717,0.678483,12.1448,2.80362,211,12,3,156.328,0.158203,1.44531,25.0852,1,62.368366,-1
139,-1,132767,-3.44766,0.933561,14.6843,-1.57108,211,10,3,34.99,0.0849609,0.462891,32.5668,1,1260.022461,1
255,-1,225656,-3.66014,0.987107,19.1955,-0.557739,321,11,3,40.3,0.090332,1.13281,27.4679,1,661.190491,-1
377,-1,322446,-2.92722,0.56411,5.28265,1.248,321,9,3,183.793,0.222656,0.539062,19.269,1,-661.200134,-1
521,-8,442482,-2.81086,0.506023,4.22132,-0.200618,4122,10,3,29.3516,0.171875,2.67188,55.7776,1,1235.063232,-1
953,-8,753786,-2.99032,0.716585,7.14521,-2.60861,211,11,3,14.5584,0.101562,3.46875,48.6769,1,12.49211,-1
1015,-8,800249,-3.78579,0.589565,12.9979,-3.09381,411,10,3,214.534,0.117188,0.1875,19.2612,1,12.4679,1
1316,-9,1040946,-3.4011,0.546388,8.20417,0.523591,211,10,3,124.439,0.149414,1.36719,23.8342,1,187.117371,1
1329,-9,1052208,-3.67744,1.2803,25.3308,-1.44626,411,10,3,65.9408,0.0612793,0.423828,23.5015,1,12.48061,-1
31,-58,473099,-2.91055,0.665043,6.12551,0.757958,223,12,3,28.5914,0.0654297,0.84375,52.7318,1,87.327347,1
50,-58,502940,-2.6939,0.588041,4.36824,0.353905,411,10,3,25.2234,0.119629,1.78125,71.8999,1,411.686737,1
98,-58,585420,-3.47963,0.62202,10.1012,-1.4691,321,10,3,131.684,0.118164,0.78125,24.5087,1,-12.465214,1
428,-59,1198938,-2.78073,0.565199,4.57609,-0.879764,421,10,3,59.5858,0.130859,1.46875,52.1295,1,-12.466139,1
65,-1,115977,-3.22368,0.876525,11.0267,-0.283351,211,10,3,202.326,0.0810547,1.33594,22.3564,1,212.08046,1
130,-1,211760,-2.76712,1.04543,8.35066,-2.94108,211,9,3,140.638,0.188477,0.460938,80.7386,1,12.470021,-1
247,-1,376850,-3.36365,0.718723,10.396,-0.530123,211,10,3,128.895,0.170898,0.636719,23.7524,1,237.015839,1
271,-5,426381,-2.79448,0.823068,6.75544,-2.08484,211,11,3,286.099,0.104492,0.460938,20.2173,1,361.78598,-1
510,-6,875658,-3.91332,0.966608,24.2062,2.93761,411,10,3,186.493,0.0515137,0.0966797,18.4258,1,162.184052,-1
673,-6,1185394,-3.67194,1.11714,21.9818,0.203094,321,10,3,84.8126,0.0617676,0.578125,22.3161,1,860.790344,1
876,-7,1578544,-2.59864,1.02438,6.92476,1.91228,431,12,3,57.0318,0.0927734,0.609375,73.7485,1,-37.384964,1
880,-7,1586541,-3.9089,0.565043,14.0878,0.113861,321,11,3,45.6261,0.0991211,0.320312,22.3699,1,212.063858,1
152,-1,304792,-3.20482,0.5398,6.66424,0.0133146,211,11,3,159.419,0.166992,0.628906,20.1133,1,561.376404,-1
234,-9,442252,-3.19882,0.835918,10.2586,1.66138,411,10,3,83.3225,0.0498047,0.863281,39.278,1,-12.475026,1
360,-9,674079,-3.75806,0.517662,11.1008,2.81963,4122,12,3,127.455,0.0830078,2.125,24.7805,1,461.604706,-1
367,-9,692516,-3.12743,0.656305,7.5013,1.04484,321,9,3,190.347,1.16406,0.318359,20.1207,1,536.438049,1
356,-1,290768,-3.53871,0.785577,13.5322,0.64445,211,10,3,97.2324,0.09375,1.40625,22.9894,0,-112.292885,-1
519,-1,433464,-3.3589,0.992008,14.2811,-1.11184,211,10,3,49.2866,0.213867,1.07031,36.379,1,386.707092,-1
614,-2,510541,-3.15095,0.870841,10.1893,-0.118664,211,12,3,40.0186,0.171875,0.365234,41.3425,0,87.330032,1
723,-2,585936,-3.17113,0.975819,11.6495,0.269628,211,10,3,229.342,0.120117,0.609375,22.6924,0,761.002686,1
758,-2,616205,-3.3616,0.533264,7.6977,-2.98837,211,10,3,50.1049,0.271484,0.945312,41.4473,1,910.704651,-1
997,-2,796115,-3.45826,0.501869,7.97797,-1.20974,411,11,3,11.8092,0.125,1.73438,31.8132,1,561.421631,1
1250,-3,992110,-3.13577,0.933774,10.7617,-0.528722,211,10,3,23.6357,0.15625,0.945312,42.706,1,386.737823,-1
1313,-3,1034067,-3.28638,0.644583,8.63203,3.00877,321,11,3,63.2845,0.168945,1.0625,30.2162,1,386.724731,-1
156,-1,115488,-2.9191,0.533855,4.95916,-0.818193,211,10,3,141.041,0.11084,0.172852,27.1797,1,935.647522,-1
182,-1,134172,-3.31508,0.825141,11.3709,-0.817652,211,10,3,79.4971,0.065918,0.601562,32.9852,1,12.472782,1
314,-1,238467,-3.11945,0.611937,6.93881,1.61096,411,11,3,58.1704,0.149414,0.048584,46.6623,1,237.019897,-1
330,-1,252135,-3.42433,0.742298,11.4071,-2.28944,321,10,3,97.5262,0.144531,0.223633,36.2572,1,261.991425,-1
442,-1,355004,-2.90731,0.939557,8.62616,-1.99995,521,10,3,113.627,0.110352,0.355469,44.2607,1,12.478038,-1
1021,-5,803756,-3.28428,0.666179,8.90259,-1.08117,211,10,3,146.578,0.200195,0.757812,23.867,1,12.517671,1
1050,-5,829497,-3.39522,0.609887,9.10396,-3.12793,411,9,3,167.384,0.0319824,1.10938,21.3125,1,137.260559,-1
1381,-6,1095483,-3.21469,0.506586,6.31607,0.792131,211,10,3,151.128,0.0839844,0.0869141,18.078,1,12.498066,1
1545,-6,1225622,-3.05703,0.921381,9.81794,-2.11912,411,10,3,90.8755,0.189453,0.980469,56.6663,1,286.89624,-1
1559,-6,1234777,-2.63102,1.03742,7.24117,0.831543,411,10,3,159.073,0.267578,1.19531,50.8381,1,62.401058,1
1585,-6,1259807,-3.53633,0.696599,11.971,2.99876,421,10,3,46.5842,0.0698242,0.628906,27.4868,0,-12.436378,-1
172,-1,136875,-3.3323,0.975819,13.6801,-1.19093,211,10,3,41.3051,0.057373,1.09375,34.5273,0,12.472767,-1
886,-8,707423,-3.34427,0.718849,10.1988,2.65619,421,10,3,53.7286,0.0737305,0.204102,31.2643,1,1010.486023,-1
950,-8,750792,-3.3668,1.37254,19.9157,2.14444,511,10,3,372.715,0.0495605,1.21094,17.2325,1,12.490738,1
1222,-9,957228,-2.70269,0.558076,4.1819,1.29767,211,10,3,44.1296,0.134766,0.792969,56.135,0,162.171829,1
1473,-9,1154310,-3.18278,0.538983,6.50964,1.92251,211,10,3,42.4244,0.117188,0.419922,37.7422,1,12.486926,-1
181,-97,528006,-2.92659,0.643823,6.02537,0.840343,211,11,3,68.1429,0.378906,1.10156,62.7435,1,511.501587,1
340,-97,641092,-2.76171,0.613311,4.87277,0.851888,211,11,3,46.6655,0.263672,0.878906,52.3158,1,87.336685,1
477,-97,754898,-2.95952,0.67098,6.48856,1.97412,211,10,3,68.5121,0.103516,1.45312,47.008,1,536.455872,1
600,-98,847616,-2.90075,0.837114,7.63565,0.446045,321,11,3,14.2103,0.246094,0.308594,57.2845,1,112.277809,-1
622,-98,865961,-2.94669,0.524994,5.01244,0.383507,211,10,3,80.6025,0.273438,1.25,38.3433,1,237.033585,-1
927,-98,1104898,-2.92925,1.41988,13.3235,2.38322,211,11,3,346.359,0.0771484,1.21094,28.8039,1,336.851257,-1
1299,-99,1398381,-3.33367,0.640901,8.99721,-0.963574,321,10,3,66.2778,0.120605,0.104004,29.2304,1,461.587311,1
1373,-99,1457590,-2.82904,0.753495,6.40028,1.89467,211,12,3,47.7914,0.0546875,0.800781,56.6057,1,12.483579,-1
1591,-99,1624869,-3.58889,0.689098,12.48,-0.344473,211,10,3,40.0473,0.110352,1.36719,25.7974,1,-1185.149414,-1
